,Conf,MP_C,PTS_C,TRB_C,AST_C,FG%_C,3P%_C,Player Name,SOS,School,FT%_C,Pk,Tm,Yrs,DRAFT_YEAR,MP.1,PTS.1,TRB.1,AST.1,FG%,3P%,Player,FT%
724,SEC,15.8,6.6,3.1,0.3,0.516,0.0,Skal Labissiere,8.84,Kentucky,0.6609999999999999,28,PHO,3.0,2016,19.1,8.4,4.6,1.0,0.475,0.344,Skal Labissiere,0.77
725,Pac-12,33.5,16.1,6.0,4.4,0.41600000000000004,0.28800000000000003,Dejounte Murray,8.12,Washington,0.6629999999999999,29,SAS,2.0,2016,17.4,6.6,4.2,2.3,0.441,0.316,Dejounte Murray,0.708
726,SEC,26.2,13.9,6.9,1.2,0.59,0.0,Damian Jones,8.68,Vanderbilt,0.536,30,GSW,3.0,2016,11.7,3.5,2.2,0.6,0.647,,Damian Jones,0.563
727,Big Ten,18.6,7.5,5.5,0.7,0.598,,Deyonta Davis,6.94,Michigan State,0.605,31,BOS,2.0,2016,12.1,4.3,3.2,0.4,0.593,,Deyonta Davis,0.64
728,Big 12,7.5,3.0,2.5,0.0,0.569,,Cheick Diallo,11.22,Kansas,0.556,33,LAC,3.0,2016,11.1,4.9,4.1,0.3,0.545,,Cheick Diallo,0.752
729,SEC,36.8,17.3,3.0,7.0,0.434,0.344,Tyler Ulis,8.84,Kentucky,0.856,34,PHO,3.0,2016,20.9,7.5,1.7,4.0,0.40299999999999997,0.28,Tyler Ulis,0.8079999999999999
730,ACC,34.1,18.2,4.1,3.1,0.457,0.391,Malcolm Brogdon,11.12,Virginia,0.897,36,MIL,3.0,2016,28.1,11.8,3.1,3.7,0.47700000000000004,0.405,Malcolm Brogdon,0.885
731,ACC,24.6,9.9,8.5,1.6,0.62,0.0,Chinanu Onuaku,7.74,Louisville,0.589,37,HOU,2.0,2016,12.3,3.0,2.3,0.7,0.583,,Chinanu Onuaku,1.0
732,MWC,33.7,14.7,5.1,3.9,0.465,0.366,Patrick McCaw,3.17,UNLV,0.774,38,MIL,2.0,2016,15.9,4.0,1.4,1.2,0.42100000000000004,0.29600000000000004,Patrick McCaw,0.775
733,Big Ten,23.1,12.5,5.4,0.4,0.568,,Diamond Stone,8.31,Maryland,0.7609999999999999,40,NOP,1.0,2016,3.4,1.4,0.9,0.0,0.231,,Diamond Stone,1.0
734,Big East,32.3,18.2,3.6,5.1,0.379,0.365,Isaiah Whitehead,8.28,Seton Hall,0.76,42,UTA,2.0,2016,20.5,7.2,2.4,2.4,0.41100000000000003,0.305,Isaiah Whitehead,0.7879999999999999
735,Big West,29.4,13.6,1.7,3.0,0.39399999999999996,0.33299999999999996,Demetrius Jackson,-0.95,Pacific,0.82,45,BOS,2.0,2016,4.9,1.3,0.8,0.6,0.455,0.25,Demetrius Jackson,0.5
736,Big Ten,24.6,15.0,8.2,1.1,0.5920000000000001,0.545,A.J. Hammons,7.46,Purdue,0.7090000000000001,46,DAL,1.0,2016,7.4,2.2,1.6,0.2,0.405,0.5,A.J. Hammons,0.45
737,Big Ten,30.9,11.6,5.3,1.1,0.5,0.396,Jake Layman,8.31,Maryland,0.8320000000000001,47,ORL,3.0,2016,8.0,2.3,0.9,0.3,0.373,0.29100000000000004,Jake Layman,0.6920000000000001
738,ACC,37.9,17.5,4.1,4.3,0.461,0.391,Michael Gbinije,9.75,Syracuse,0.6629999999999999,49,DET,1.0,2016,3.6,0.4,0.3,0.2,0.1,0.0,Michael Gbinije,1.0
739,Big 12,33.2,20.5,6.2,3.3,0.546,0.392,Georges Niang,10.16,Iowa State,0.807,50,IND,3.0,2016,5.2,1.7,1.0,0.3,0.341,0.262,Georges Niang,0.818
740,Big East,34.2,21.1,7.7,1.1,0.462,0.32899999999999996,Ben Bentil,8.46,Providence,0.782,51,BOS,1.0,2016,3.3,0.0,0.7,0.0,0.0,0.0,Ben Bentil,
741,Big Sky,31.5,17.1,12.6,1.1,0.573,0.364,Joel Bolomboy,-5.13,Weber State,0.6970000000000001,52,UTA,2.0,2016,5.1,1.7,1.5,0.1,0.545,0.2,Joel Bolomboy,0.5
742,ACC,31.6,13.4,2.5,3.7,0.397,0.355,Marcus Paige,10.69,UNC,0.7959999999999999,55,BRK,1.0,2016,5.6,2.4,0.8,0.6,0.28600000000000003,0.25,Marcus Paige,1.0
743,AAC,31.9,12.5,8.9,4.7,0.387,0.331,Daniel Hamilton,6.28,UConn,0.86,56,DEN,2.0,2016,5.1,1.9,0.7,1.1,0.385,0.33299999999999996,Daniel Hamilton,0.5
744,Big 12,31.1,12.9,5.0,1.5,0.478,0.371,Abdel Nader,10.16,Iowa State,0.736,58,BOS,2.0,2016,9.8,2.8,1.3,0.5,0.34,0.34299999999999997,Abdel Nader,0.59
745,Big 12,33.3,12.6,4.5,4.5,0.406,0.41100000000000003,Isaiah Cousins,11.14,Oklahoma,0.67,59,SAC,,2016,,,,,,,Isaiah Cousins,
746,Pac-12,32.2,15.3,5.3,4.4,0.44,0.298,Tyrone Wallace,7.87,California,0.649,60,UTA,2.0,2016,22.2,7.8,2.7,1.8,0.445,0.22699999999999998,Tyrone Wallace,0.7440000000000001
747,Pac-12,35.7,23.2,5.7,5.9,0.47600000000000003,0.413,Markelle Fultz,6.82,Washington,0.649,1,PHI,2.0,2017,20.6,7.7,3.4,3.4,0.414,0.267,Markelle Fultz,0.534
748,Pac-12,35.1,14.6,6.0,7.6,0.551,0.41200000000000003,Lonzo Ball,6.39,UCLA,0.6729999999999999,2,LAL,2.0,2017,32.4,9.7,6.5,6.6,0.368,0.314,Lonzo Ball,0.47100000000000003
749,ACC,33.3,16.8,7.3,2.1,0.452,0.342,Jayson Tatum,10.91,Duke,0.8490000000000001,3,BOS,2.0,2017,30.7,14.4,5.3,1.7,0.46799999999999997,0.426,Jayson Tatum,0.826
750,MEAC,17.6,8.0,4.7,1.0,0.53,,Josh Jackson,-9.46,South Carolina State,0.5770000000000001,4,PHO,2.0,2017,23.8,12.0,4.1,1.5,0.41600000000000004,0.27,Josh Jackson,0.631
751,SEC,29.6,16.7,4.0,4.6,0.479,0.24600000000000002,De'Aaron Fox,10.49,Kentucky,0.736,5,SAC,2.0,2017,28.8,12.8,3.1,5.1,0.426,0.327,De'Aaron Fox,0.7120000000000001
752,ACC,26.2,12.0,7.8,1.2,0.508,0.348,Jonathan Isaac,8.87,Florida State,0.78,6,ORL,2.0,2017,20.3,6.2,4.2,0.7,0.397,0.307,Jonathan Isaac,0.769
753,Pac-12,30.8,15.6,7.2,0.9,0.49200000000000005,0.423,Lauri Markkanen,7.63,Arizona,0.835,7,MIN,1.0,2017,29.7,15.2,7.5,1.2,0.434,0.36200000000000004,Lauri Markkanen,0.843
754,MWC,,3.3,1.3,0.0,0.667,,Dennis Smith,4.36,Utah,1.0,9,DAL,2.0,2017,29.4,15.0,3.6,4.9,0.402,0.325,Dennis Smith,0.6859999999999999
755,WCC,17.3,10.0,5.9,0.4,0.652,0.47600000000000003,Zach Collins,4.13,Gonzaga,0.743,10,SAC,2.0,2017,16.8,5.3,3.6,0.8,0.431,0.327,Zach Collins,0.747
756,SEC,32.1,19.8,2.5,2.3,0.45,0.397,Malik Monk,10.49,Kentucky,0.8220000000000001,11,CHO,2.0,2017,15.2,7.6,1.2,1.6,0.359,0.32899999999999996,Malik Monk,0.857
757,ACC,35.5,19.5,5.1,2.5,0.489,0.43799999999999994,Luke Kennard,10.91,Duke,0.856,12,DET,2.0,2017,19.8,7.6,2.4,1.7,0.449,0.41600000000000004,Luke Kennard,0.855
758,ACC,32.3,15.6,4.9,2.7,0.408,0.354,Donovan Mitchell,11.15,Louisville,0.8059999999999999,13,DEN,2.0,2017,33.2,20.5,3.5,3.7,0.433,0.332,Donovan Mitchell,0.804
759,SEC,1.0,0.0,0.0,0.0,,,Justin Jackson,7.71,Tennessee,,15,POR,2.0,2017,21.9,6.6,2.8,1.2,0.43799999999999994,0.304,Justin Jackson,0.759
760,SEC,1.0,0.0,0.0,0.0,,,Justin Jackson,7.71,Tennessee,,43,DEN,,2018,,,,,,,Justin Jackson,
761,SEC,1.0,0.0,0.0,0.0,,,Justin Jackson,7.71,Tennessee,,15,POR,2.0,2017,21.9,6.6,2.8,1.2,0.43799999999999994,0.304,Justin Jackson,0.759
762,SEC,1.0,0.0,0.0,0.0,,,Justin Jackson,7.71,Tennessee,,43,DEN,,2018,,,,,,,Justin Jackson,
